[2026-04-21 02:02:39 UTC] [0002] 2026-03-23 12:02 C=1.15544 | R_MASTER_RESET
[2026-04-21 02:02:42 UTC] [0009] 2026-03-23 12:09 C=1.15663 | R_MASTER_RESET
[2026-04-21 02:02:42 UTC] [0009] 2026-03-23 12:09 C=1.15663 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:42 UTC] [0009] 2026-03-23 12:09 C=1.15663 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:42 UTC] [0009] 2026-03-23 12:09 C=1.15663 | HARMONIC_TRAP phi=1.771
[2026-04-21 02:02:42 UTC] [0009] 2026-03-23 12:09 C=1.15663 | KL_FRACTURE score=3.889
[2026-04-21 02:02:42 UTC] [0009] 2026-03-23 12:09 C=1.15663 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:43 UTC] [0010] 2026-03-23 12:10 C=1.15678 | R_MASTER_RESET
[2026-04-21 02:02:43 UTC] [0010] 2026-03-23 12:10 C=1.15678 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:43 UTC] [0010] 2026-03-23 12:10 C=1.15678 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:43 UTC] [0010] 2026-03-23 12:10 C=1.15678 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:43 UTC] [0010] 2026-03-23 12:10 C=1.15678 | HARMONIC_TRAP phi=2.162
[2026-04-21 02:02:43 UTC] [0010] 2026-03-23 12:10 C=1.15678 | KL_FRACTURE score=7.880
[2026-04-21 02:02:43 UTC] [0010] 2026-03-23 12:10 C=1.15678 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:44 UTC] [0011] 2026-03-23 12:11 C=1.15608 | R_MASTER_RESET
[2026-04-21 02:02:44 UTC] [0011] 2026-03-23 12:11 C=1.15608 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:44 UTC] [0011] 2026-03-23 12:11 C=1.15608 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:44 UTC] [0011] 2026-03-23 12:11 C=1.15608 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:44 UTC] [0011] 2026-03-23 12:11 C=1.15608 | HARMONIC_TRAP phi=2.753
[2026-04-21 02:02:44 UTC] [0011] 2026-03-23 12:11 C=1.15608 | KL_FRACTURE score=9.449
[2026-04-21 02:02:44 UTC] [0011] 2026-03-23 12:11 C=1.15608 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:44 UTC] [0012] 2026-03-23 12:12 C=1.15585 | R_MASTER_RESET
[2026-04-21 02:02:44 UTC] [0012] 2026-03-23 12:12 C=1.15585 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:44 UTC] [0012] 2026-03-23 12:12 C=1.15585 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:44 UTC] [0012] 2026-03-23 12:12 C=1.15585 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:44 UTC] [0012] 2026-03-23 12:12 C=1.15585 | HARMONIC_TRAP phi=2.956
[2026-04-21 02:02:44 UTC] [0012] 2026-03-23 12:12 C=1.15585 | KL_FRACTURE score=10.811
[2026-04-21 02:02:44 UTC] [0012] 2026-03-23 12:12 C=1.15585 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:45 UTC] [0013] 2026-03-23 12:13 C=1.15589 | R_MASTER_RESET
[2026-04-21 02:02:45 UTC] [0013] 2026-03-23 12:13 C=1.15589 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:45 UTC] [0013] 2026-03-23 12:13 C=1.15589 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:45 UTC] [0013] 2026-03-23 12:13 C=1.15589 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:45 UTC] [0013] 2026-03-23 12:13 C=1.15589 | HARMONIC_TRAP phi=2.444
[2026-04-21 02:02:45 UTC] [0013] 2026-03-23 12:13 C=1.15589 | KL_FRACTURE score=11.997
[2026-04-21 02:02:45 UTC] [0013] 2026-03-23 12:13 C=1.15589 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:45 UTC] [0014] 2026-03-23 12:14 C=1.15554 | R_MASTER_RESET
[2026-04-21 02:02:45 UTC] [0014] 2026-03-23 12:14 C=1.15554 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:45 UTC] [0014] 2026-03-23 12:14 C=1.15554 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:45 UTC] [0014] 2026-03-23 12:14 C=1.15554 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:45 UTC] [0014] 2026-03-23 12:14 C=1.15554 | HARMONIC_TRAP phi=2.004
[2026-04-21 02:02:45 UTC] [0014] 2026-03-23 12:14 C=1.15554 | KL_FRACTURE score=11.079
[2026-04-21 02:02:45 UTC] [0014] 2026-03-23 12:14 C=1.15554 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:46 UTC] [0015] 2026-03-23 12:15 C=1.15570 | R_MASTER_RESET
[2026-04-21 02:02:46 UTC] [0015] 2026-03-23 12:15 C=1.15570 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:46 UTC] [0015] 2026-03-23 12:15 C=1.15570 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:46 UTC] [0015] 2026-03-23 12:15 C=1.15570 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:46 UTC] [0015] 2026-03-23 12:15 C=1.15570 | HARMONIC_TRAP phi=1.575
[2026-04-21 02:02:46 UTC] [0015] 2026-03-23 12:15 C=1.15570 | KL_FRACTURE score=10.308
[2026-04-21 02:02:46 UTC] [0015] 2026-03-23 12:15 C=1.15570 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:46 UTC] [0016] 2026-03-23 12:16 C=1.15636 | R_MASTER_RESET
[2026-04-21 02:02:46 UTC] [0016] 2026-03-23 12:16 C=1.15636 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:46 UTC] [0016] 2026-03-23 12:16 C=1.15636 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:46 UTC] [0016] 2026-03-23 12:16 C=1.15636 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:46 UTC] [0016] 2026-03-23 12:16 C=1.15636 | KL_FRACTURE score=9.654
[2026-04-21 02:02:46 UTC] [0016] 2026-03-23 12:16 C=1.15636 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:47 UTC] [0017] 2026-03-23 12:17 C=1.15707 | R_MASTER_RESET
[2026-04-21 02:02:47 UTC] [0017] 2026-03-23 12:17 C=1.15707 | FVG BULLISH_FVG eq=1.15548
[2026-04-21 02:02:47 UTC] [0017] 2026-03-23 12:17 C=1.15707 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:47 UTC] [0017] 2026-03-23 12:17 C=1.15707 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:47 UTC] [0017] 2026-03-23 12:17 C=1.15707 | HARMONIC_TRAP phi=2.224
[2026-04-21 02:02:47 UTC] [0017] 2026-03-23 12:17 C=1.15707 | KL_FRACTURE score=2.142
[2026-04-21 02:02:47 UTC] [0017] 2026-03-23 12:17 C=1.15707 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:47 UTC] [0018] 2026-03-23 12:18 C=1.15714 | R_MASTER_RESET
[2026-04-21 02:02:47 UTC] [0018] 2026-03-23 12:18 C=1.15714 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:47 UTC] [0018] 2026-03-23 12:18 C=1.15714 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:47 UTC] [0018] 2026-03-23 12:18 C=1.15714 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:47 UTC] [0018] 2026-03-23 12:18 C=1.15714 | HARMONIC_TRAP phi=2.489
[2026-04-21 02:02:47 UTC] [0018] 2026-03-23 12:18 C=1.15714 | KL_FRACTURE score=3.247
[2026-04-21 02:02:47 UTC] [0018] 2026-03-23 12:18 C=1.15714 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:48 UTC] [0019] 2026-03-23 12:19 C=1.15724 | R_MASTER_RESET
[2026-04-21 02:02:48 UTC] [0019] 2026-03-23 12:19 C=1.15724 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:48 UTC] [0019] 2026-03-23 12:19 C=1.15724 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:48 UTC] [0019] 2026-03-23 12:19 C=1.15724 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:48 UTC] [0019] 2026-03-23 12:19 C=1.15724 | KL_FRACTURE score=4.545
[2026-04-21 02:02:48 UTC] [0019] 2026-03-23 12:19 C=1.15724 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:48 UTC] [0020] 2026-03-23 12:20 C=1.15728 | R_MASTER_RESET
[2026-04-21 02:02:48 UTC] [0020] 2026-03-23 12:20 C=1.15728 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:48 UTC] [0020] 2026-03-23 12:20 C=1.15728 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:48 UTC] [0020] 2026-03-23 12:20 C=1.15728 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:48 UTC] [0020] 2026-03-23 12:20 C=1.15728 | KL_FRACTURE score=2.951
[2026-04-21 02:02:48 UTC] [0020] 2026-03-23 12:20 C=1.15728 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:49 UTC] [0021] 2026-03-23 12:21 C=1.15749 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:49 UTC] [0021] 2026-03-23 12:21 C=1.15749 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:49 UTC] [0021] 2026-03-23 12:21 C=1.15749 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:49 UTC] [0021] 2026-03-23 12:21 C=1.15749 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:50 UTC] [0022] 2026-03-23 12:22 C=1.15759 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:50 UTC] [0022] 2026-03-23 12:22 C=1.15759 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:50 UTC] [0022] 2026-03-23 12:22 C=1.15759 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:50 UTC] [0022] 2026-03-23 12:22 C=1.15759 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:50 UTC] [0023] 2026-03-23 12:23 C=1.15734 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:50 UTC] [0023] 2026-03-23 12:23 C=1.15734 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:50 UTC] [0023] 2026-03-23 12:23 C=1.15734 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:50 UTC] [0023] 2026-03-23 12:23 C=1.15734 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:51 UTC] [0024] 2026-03-23 12:24 C=1.15682 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:51 UTC] [0024] 2026-03-23 12:24 C=1.15682 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:51 UTC] [0024] 2026-03-23 12:24 C=1.15682 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:51 UTC] [0024] 2026-03-23 12:24 C=1.15682 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:51 UTC] [0025] 2026-03-23 12:25 C=1.15702 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:51 UTC] [0025] 2026-03-23 12:25 C=1.15702 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:51 UTC] [0025] 2026-03-23 12:25 C=1.15702 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:51 UTC] [0025] 2026-03-23 12:25 C=1.15702 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:52 UTC] [0026] 2026-03-23 12:26 C=1.15713 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:52 UTC] [0026] 2026-03-23 12:26 C=1.15713 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:52 UTC] [0026] 2026-03-23 12:26 C=1.15713 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:52 UTC] [0026] 2026-03-23 12:26 C=1.15713 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:52 UTC] [0027] 2026-03-23 12:27 C=1.15692 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:52 UTC] [0027] 2026-03-23 12:27 C=1.15692 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:52 UTC] [0027] 2026-03-23 12:27 C=1.15692 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:52 UTC] [0027] 2026-03-23 12:27 C=1.15692 | HARMONIC_TRAP phi=1.605
[2026-04-21 02:02:52 UTC] [0027] 2026-03-23 12:27 C=1.15692 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:53 UTC] [0028] 2026-03-23 12:28 C=1.15733 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:53 UTC] [0028] 2026-03-23 12:28 C=1.15733 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:53 UTC] [0028] 2026-03-23 12:28 C=1.15733 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:53 UTC] [0028] 2026-03-23 12:28 C=1.15733 | HARMONIC_TRAP phi=1.642
[2026-04-21 02:02:53 UTC] [0028] 2026-03-23 12:28 C=1.15733 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:54 UTC] [0029] 2026-03-23 12:29 C=1.15722 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:54 UTC] [0029] 2026-03-23 12:29 C=1.15722 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:54 UTC] [0029] 2026-03-23 12:29 C=1.15722 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:54 UTC] [0029] 2026-03-23 12:29 C=1.15722 | HARMONIC_TRAP phi=1.684
[2026-04-21 02:02:54 UTC] [0029] 2026-03-23 12:29 C=1.15722 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:54 UTC] [0030] 2026-03-23 12:30 C=1.15679 | FVG BULLISH_FVG eq=1.15618
[2026-04-21 02:02:54 UTC] [0030] 2026-03-23 12:30 C=1.15679 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:54 UTC] [0030] 2026-03-23 12:30 C=1.15679 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:54 UTC] [0030] 2026-03-23 12:30 C=1.15679 | HARMONIC_TRAP phi=1.756
[2026-04-21 02:02:54 UTC] [0030] 2026-03-23 12:30 C=1.15679 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:55 UTC] [0031] 2026-03-23 12:31 C=1.15621 | R_MASTER_RESET
[2026-04-21 02:02:55 UTC] [0031] 2026-03-23 12:31 C=1.15621 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:55 UTC] [0031] 2026-03-23 12:31 C=1.15621 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:55 UTC] [0031] 2026-03-23 12:31 C=1.15621 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:55 UTC] [0031] 2026-03-23 12:31 C=1.15621 | HARMONIC_TRAP phi=1.862
[2026-04-21 02:02:55 UTC] [0031] 2026-03-23 12:31 C=1.15621 | KL_FRACTURE score=1.117
[2026-04-21 02:02:55 UTC] [0031] 2026-03-23 12:31 C=1.15621 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:55 UTC] [0032] 2026-03-23 12:32 C=1.15630 | R_MASTER_RESET
[2026-04-21 02:02:55 UTC] [0032] 2026-03-23 12:32 C=1.15630 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:55 UTC] [0032] 2026-03-23 12:32 C=1.15630 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:55 UTC] [0032] 2026-03-23 12:32 C=1.15630 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:55 UTC] [0032] 2026-03-23 12:32 C=1.15630 | HARMONIC_TRAP phi=1.956
[2026-04-21 02:02:55 UTC] [0032] 2026-03-23 12:32 C=1.15630 | KL_FRACTURE score=1.861
[2026-04-21 02:02:55 UTC] [0032] 2026-03-23 12:32 C=1.15630 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:56 UTC] [0033] 2026-03-23 12:33 C=1.15665 | R_MASTER_RESET
[2026-04-21 02:02:56 UTC] [0033] 2026-03-23 12:33 C=1.15665 | FVG BULLISH_FVG eq=1.15620
[2026-04-21 02:02:56 UTC] [0033] 2026-03-23 12:33 C=1.15665 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:56 UTC] [0033] 2026-03-23 12:33 C=1.15665 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:56 UTC] [0033] 2026-03-23 12:33 C=1.15665 | HARMONIC_TRAP phi=2.023
[2026-04-21 02:02:56 UTC] [0033] 2026-03-23 12:33 C=1.15665 | KL_FRACTURE score=1.835
[2026-04-21 02:02:56 UTC] [0033] 2026-03-23 12:33 C=1.15665 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:56 UTC] [0034] 2026-03-23 12:34 C=1.15706 | R_MASTER_RESET
[2026-04-21 02:02:56 UTC] [0034] 2026-03-23 12:34 C=1.15706 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:56 UTC] [0034] 2026-03-23 12:34 C=1.15706 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:56 UTC] [0034] 2026-03-23 12:34 C=1.15706 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:02:56 UTC] [0034] 2026-03-23 12:34 C=1.15706 | HARMONIC_TRAP phi=2.059
[2026-04-21 02:02:56 UTC] [0034] 2026-03-23 12:34 C=1.15706 | KL_FRACTURE score=1.794
[2026-04-21 02:02:56 UTC] [0034] 2026-03-23 12:34 C=1.15706 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:57 UTC] [0035] 2026-03-23 12:35 C=1.15763 | R_MASTER_RESET
[2026-04-21 02:02:57 UTC] [0035] 2026-03-23 12:35 C=1.15763 | FVG BULLISH_FVG eq=1.15663
[2026-04-21 02:02:57 UTC] [0035] 2026-03-23 12:35 C=1.15763 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:57 UTC] [0035] 2026-03-23 12:35 C=1.15763 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:02:57 UTC] [0035] 2026-03-23 12:35 C=1.15763 | HARMONIC_TRAP phi=2.056
[2026-04-21 02:02:57 UTC] [0035] 2026-03-23 12:35 C=1.15763 | KL_FRACTURE score=2.565
[2026-04-21 02:02:57 UTC] [0035] 2026-03-23 12:35 C=1.15763 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:58 UTC] [0036] 2026-03-23 12:36 C=1.15780 | R_MASTER_RESET
[2026-04-21 02:02:58 UTC] [0036] 2026-03-23 12:36 C=1.15780 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:58 UTC] [0036] 2026-03-23 12:36 C=1.15780 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:02:58 UTC] [0036] 2026-03-23 12:36 C=1.15780 | FVG BULLISH_FVG eq=1.15726
[2026-04-21 02:02:58 UTC] [0036] 2026-03-23 12:36 C=1.15780 | HARMONIC_TRAP phi=2.037
[2026-04-21 02:02:58 UTC] [0036] 2026-03-23 12:36 C=1.15780 | KL_FRACTURE score=2.395
[2026-04-21 02:02:58 UTC] [0036] 2026-03-23 12:36 C=1.15780 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:58 UTC] [0037] 2026-03-23 12:37 C=1.15732 | R_MASTER_RESET
[2026-04-21 02:02:58 UTC] [0037] 2026-03-23 12:37 C=1.15732 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:58 UTC] [0037] 2026-03-23 12:37 C=1.15732 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:02:58 UTC] [0037] 2026-03-23 12:37 C=1.15732 | FVG BULLISH_FVG eq=1.15726
[2026-04-21 02:02:58 UTC] [0037] 2026-03-23 12:37 C=1.15732 | HARMONIC_TRAP phi=2.045
[2026-04-21 02:02:58 UTC] [0037] 2026-03-23 12:37 C=1.15732 | KL_FRACTURE score=2.352
[2026-04-21 02:02:58 UTC] [0037] 2026-03-23 12:37 C=1.15732 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:59 UTC] [0038] 2026-03-23 12:38 C=1.15741 | R_MASTER_RESET
[2026-04-21 02:02:59 UTC] [0038] 2026-03-23 12:38 C=1.15741 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:59 UTC] [0038] 2026-03-23 12:38 C=1.15741 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:02:59 UTC] [0038] 2026-03-23 12:38 C=1.15741 | FVG BULLISH_FVG eq=1.15726
[2026-04-21 02:02:59 UTC] [0038] 2026-03-23 12:38 C=1.15741 | HARMONIC_TRAP phi=2.046
[2026-04-21 02:02:59 UTC] [0038] 2026-03-23 12:38 C=1.15741 | KL_FRACTURE score=2.296
[2026-04-21 02:02:59 UTC] [0038] 2026-03-23 12:38 C=1.15741 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:59 UTC] [0039] 2026-03-23 12:39 C=1.15775 | R_MASTER_RESET
[2026-04-21 02:02:59 UTC] [0039] 2026-03-23 12:39 C=1.15775 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:02:59 UTC] [0039] 2026-03-23 12:39 C=1.15775 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:02:59 UTC] [0039] 2026-03-23 12:39 C=1.15775 | FVG BULLISH_FVG eq=1.15726
[2026-04-21 02:02:59 UTC] [0039] 2026-03-23 12:39 C=1.15775 | HARMONIC_TRAP phi=2.025
[2026-04-21 02:02:59 UTC] [0039] 2026-03-23 12:39 C=1.15775 | KL_FRACTURE score=2.241
[2026-04-21 02:02:59 UTC] [0039] 2026-03-23 12:39 C=1.15775 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:00 UTC] [0040] 2026-03-23 12:40 C=1.15750 | R_MASTER_RESET
[2026-04-21 02:03:00 UTC] [0040] 2026-03-23 12:40 C=1.15750 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:03:00 UTC] [0040] 2026-03-23 12:40 C=1.15750 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:03:00 UTC] [0040] 2026-03-23 12:40 C=1.15750 | FVG BULLISH_FVG eq=1.15726
[2026-04-21 02:03:00 UTC] [0040] 2026-03-23 12:40 C=1.15750 | HARMONIC_TRAP phi=2.019
[2026-04-21 02:03:00 UTC] [0040] 2026-03-23 12:40 C=1.15750 | KL_FRACTURE score=2.201
[2026-04-21 02:03:00 UTC] [0040] 2026-03-23 12:40 C=1.15750 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:00 UTC] [0041] 2026-03-23 12:41 C=1.15848 | R_MASTER_RESET
[2026-04-21 02:03:00 UTC] [0041] 2026-03-23 12:41 C=1.15848 | FVG BEARISH_FVG eq=1.15687
[2026-04-21 02:03:00 UTC] [0041] 2026-03-23 12:41 C=1.15848 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:03:00 UTC] [0041] 2026-03-23 12:41 C=1.15848 | FVG BULLISH_FVG eq=1.15726
[2026-04-21 02:03:00 UTC] [0041] 2026-03-23 12:41 C=1.15848 | HARMONIC_TRAP phi=1.952
[2026-04-21 02:03:00 UTC] [0041] 2026-03-23 12:41 C=1.15848 | KL_FRACTURE score=6.069
[2026-04-21 02:03:00 UTC] [0041] 2026-03-23 12:41 C=1.15848 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:03:01 UTC] [0042] 2026-03-23 12:42 C=1.15922 | R_MASTER_RESET
[2026-04-21 02:03:01 UTC] [0042] 2026-03-23 12:42 C=1.15922 | FVG BULLISH_FVG eq=1.15645
[2026-04-21 02:03:01 UTC] [0042] 2026-03-23 12:42 C=1.15922 | FVG BULLISH_FVG eq=1.15726
[2026-04-21 02:03:01 UTC] [0042] 2026-03-23 12:42 C=1.15922 | FVG BULLISH_FVG eq=1.15812
